experimento,hilo,tiempo_obtener_logger_ns,timestamp_ns,mensaje,tiempo_escritura_ns,tiempo_total_registro_ns
9,1,741700,1291241598742700,14,1676000,
9,4,800900,1291241599211600,3,2595700,
9,3,692200,1291241599598400,7,1250500,
9,2,581300,1291241600116500,4,2237900,
9,3,692200,1291241600599000,8,998300,
9,4,800900,1291241601033100,4,1818400,
9,3,692200,1291241601600200,9,998200,
9,2,581300,1291241601991300,5,1871800,
9,3,692200,1291241602565700,10,962100,
9,4,800900,1291241603117700,5,2082100,
9,3,692200,1291241603533800,11,951800,
9,2,581300,1291241603906100,6,1912000,
9,3,692200,1291241604383800,12,842500,
9,4,800900,1291241604805100,6,1683800,
9,3,692200,1291241605175800,13,788800,
9,2,581300,1291241605541900,7,1633400,
9,3,692200,1291241605998500,14,819300,
9,4,800900,1291241606376900,7,1568700,
9,2,581300,1291241606737900,8,1193000,
9,2,581300,1291241607065200,9,321200,
9,2,581300,1291241607424100,10,356700,
9,4,800900,1291241607851100,8,1471100,
9,2,581300,1291241608310000,11,873800,
9,4,800900,1291241608830800,9,966900,
9,2,581300,1291241609185000,12,872000,
9,4,800900,1291241609595000,10,760600,
9,2,581300,1291241609896800,13,709300,
9,2,581300,1291241610210300,14,311300,
9,4,800900,1291241610585100,11,949600,
9,4,800900,1291241610917900,12,330300,
9,4,800900,1291241611237400,13,317100,
9,4,800900,1291241611551000,14,311300,
9,1,741700,,,TOTAL,,44774500
9,2,581300,,,TOTAL,,56205900
9,3,692200,,,TOTAL,,51939500
9,4,800900,,,TOTAL,,57448800
10,4,685900,1291241780820600,0,24938200,
10,2,855500,1291241781740100,0,25829300,
10,1,796700,1291241782436400,0,26591600,
10,3,726000,1291241783154600,0,27259200,
10,1,796700,1291241783758900,1,1314300,
10,2,855500,1291241784382800,1,2353000,
10,4,685900,1291241784906900,1,2878400,
10,2,855500,1291241785579300,2,1191900,
10,2,855500,1291241786088000,3,503800,
10,1,796700,1291241786830100,2,3067100,
10,3,726000,1291241787387500,1,4224300,
10,1,796700,1291241787870400,3,1035400,
10,2,855500,1291241788298800,4,2206900,
10,4,685900,1291241788756100,2,3845500,
10,2,855500,1291241789276100,5,973800,
10,1,796700,1291241789794400,4,1920300,
10,3,726000,1291241790299800,2,2908100,
10,1,796700,1291241790773200,5,975100,
10,2,855500,1291241791321900,6,2041300,
10,4,685900,1291241791884100,3,3123500,
10,2,855500,1291241792425500,7,1099700,
10,1,796700,1291241793040400,6,2263700,
10,3,726000,1291241793559600,3,3256400,
10,1,796700,1291241794144600,7,1099500,
10,2,855500,1291241794703400,8,2273600,
10,4,685900,1291241795257400,4,3369200,
10,2,855500,1291241795761700,9,1053800,
10,1,796700,1291241796355400,8,2203900,
